"Latitude.1" "Longitude.1" "Latitude.2" "Longitude.2"
"265" 41.86629 -87.715421 41.766833 -87.605623
"266" 41.86629 -87.715421 41.76968445 -87.58373152
"267" 41.86629 -87.715421 41.873699 -87.704716
"268" 41.86629 -87.715421 41.704884 -87.602948
"269" 41.776949 -87.664152 41.799439 -87.651569
"270" 41.776949 -87.664152 41.691694 -87.668627
"271" 41.776949 -87.664152 41.813914 -87.633684
"272" 41.776949 -87.664152 41.750745 -87.636728
"273" 41.776949 -87.664152 41.810852 -87.743578
"274" 41.776949 -87.664152 41.741221 -87.571293
"275" 41.776949 -87.664152 41.792787 -87.674262
"276" 41.776949 -87.664152 41.897511 -87.770353
"277" 41.776949 -87.664152 41.75216 -87.563814
"278" 41.776949 -87.664152 41.788214 -87.604549
"279" 41.776949 -87.664152 41.778989 -87.708784
"280" 41.776949 -87.664152 41.87402207 -87.75970821
"281" 41.776949 -87.664152 41.717543 -87.59495
"282" 41.75253809 -87.641663 41.75782 -87.585447
"283" 41.75253809 -87.641663 41.758611 -87.602694
"284" 41.75253809 -87.641663 41.87768 -87.762815
"285" 41.75253809 -87.641663 41.766098 -87.582447
"286" 41.75253809 -87.641663 41.894524 -87.758036
"287" 41.75253809 -87.641663 41.762783 -87.670055
"288" 41.75253809 -87.641663 41.893811 -87.77417
"289" 41.75253809 -87.641663 41.790082 -87.670836
"290" 41.75253809 -87.641663 41.71469287 -87.60909886
"291" 41.893554 -87.756424 41.90845297 -87.77055367
"292" 41.893554 -87.756424 41.749753 -87.601119
"293" 41.893554 -87.756424 41.764846 -87.669887
"294" 41.893554 -87.756424 41.792787 -87.674262
"295" 41.893554 -87.756424 41.845601 -87.705856
"296" 41.893554 -87.756424 41.75419 -87.633448
"297" 41.893554 -87.756424 41.75234012 -87.65620325
"298" 41.893554 -87.756424 41.705229 -87.641174
"299" 41.893554 -87.756424 41.87382201 -87.76950132
"300" 41.893554 -87.756424 41.876406 -87.749732
"301" 41.893554 -87.756424 41.875089 -87.657024
"302" 41.893554 -87.756424 41.77194037 -87.60048047
"303" 41.893554 -87.756424 41.769221 -87.584995
"304" 41.893554 -87.756424 41.806701 -87.633561
"305" 41.893554 -87.756424 41.866663 -87.728294
"306" 41.893554 -87.756424 41.708945 -87.627161
"307" 41.893554 -87.756424 41.880818 -87.71868
"308" 41.893554 -87.756424 41.995277 -87.662567
"309" 41.893554 -87.756424 41.739463 -87.647615
"310" 41.750865 -87.629495 41.756431 -87.605695
"311" 41.750865 -87.629495 41.686864 -87.634035
"312" 41.750865 -87.629495 41.925189 -87.702574
"313" 41.750865 -87.629495 41.77431599 -87.64459275
"314" 41.750865 -87.629495 41.818452 -87.632143
"315" 41.70383117 -87.61100951 41.747646 -87.64541
"316" 41.70383117 -87.61100951 41.87499 -87.759009
"317" 41.70383117 -87.61100951 41.808713 -87.656702
"318" 41.70383117 -87.61100951 41.779651 -87.660835
"319" 41.70383117 -87.61100951 41.873057 -87.698684
"320" 41.70383117 -87.61100951 41.885091 -87.711131
"321" 41.70383117 -87.61100951 41.788505 -87.655079
"322" 41.71469287 -87.60909886 41.873699 -87.704716
"323" 41.71469287 -87.60909886 41.73846932 -87.61229306
"324" 41.71469287 -87.60909886 41.908411 -87.765878
"325" 41.71469287 -87.60909886 41.753067 -87.607703
"326" 41.71469287 -87.60909886 41.90657239 -87.69700966
"327" 41.71469287 -87.60909886 41.872794 -87.718286
"328" 41.71469287 -87.60909886 41.692827 -87.605031
"329" 41.71469287 -87.60909886 41.782373 -87.662084
"330" 41.71469287 -87.60909886 41.768203 -87.664196
